Probability,BARE,Current,Stop Loss
0.00%,"-49,263,333","-23,198,963","-32,243,333"
0.25%,"-25,817,548","-12,416,243","-9,439,234"
0.50%,"-21,827,529","-10,377,108","-6,311,695"
0.75%,"-17,837,510","-8,337,973","-3,184,156"
1.00%,"-13,847,491","-6,298,838","-56,618"
1.25%,"-12,641,527","-5,703,459","237,924"
1.50%,"-11,677,654","-5,290,176","286,117"
1.75%,"-10,713,781","-4,876,893","334,311"
2.00%,"-9,749,908","-4,463,610","382,505"
4.00%,"-5,892,701","-2,551,287","575,365"
6.00%,"-3,602,653","-1,315,561","689,867"
8.00%,"-2,008,347","-409,204","769,583"
10.00%,"-686,845","284,986","835,658"
12.00%,"416,042","951,819","890,802"
14.00%,"1,448,699","1,464,523","942,435"
16.00%,"2,415,661","1,919,933","990,783"
18.00%,"3,226,822","2,388,329","1,251,605"
20.00%,"3,905,868","2,802,539","1,925,868"
22.00%,"4,554,807","3,190,684","2,574,807"
24.00%,"5,209,039","3,549,185","3,229,039"
25.00%,"5,513,974","3,713,920","3,533,974"
26.00%,"5,832,081","3,880,394","3,852,081"
28.00%,"6,371,517","4,205,322","4,391,517"
30.00%,"6,891,421","4,514,526","4,911,421"
32.00%,"7,401,904","4,827,688","5,421,904"
34.00%,"7,856,716","5,146,708","5,876,716"
36.00%,"8,321,687","5,428,461","6,341,687"
38.00%,"8,761,854","5,694,960","6,781,854"
40.00%,"9,208,534","5,962,559","7,228,534"
42.00%,"9,639,097","6,244,632","7,659,097"
44.00%,"10,021,333","6,495,969","8,041,333"
46.00%,"10,439,457","6,780,995","8,459,457"
48.00%,"10,823,625","7,026,301","8,843,625"
50.00%,"11,191,515","7,269,232","9,211,515"
